epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,375.145,1.28704,1.8689,1.4057,0.81404,0.42178,0.43699,0.29485,0.94338,0.74215,1.07923,0.00333073,0.00333073,0.00333073
2,734.846,1.13135,1.1631,1.26336,0.7028,0.45907,0.4995,0.33294,0.94195,0.70196,1.09863,0.00665087,0.00665087,0.00665087
3,1093.43,1.16348,1.16943,1.29004,0.66838,0.45978,0.48164,0.32116,0.91312,0.72288,1.09879,0.0099578,0.0099578,0.0099578
4,1451.29,1.16071,1.15992,1.29617,0.76944,0.47523,0.51387,0.34725,0.89859,0.65525,1.1031,0.0099406,0.0099406,0.0099406
5,1809.8,1.09624,1.05595,1.26146,0.76152,0.47207,0.5363,0.37592,0.82915,0.59298,1.05632,0.0099208,0.0099208,0.0099208
6,2167.98,1.05856,0.9835,1.23594,0.74476,0.50283,0.55399,0.38936,0.80338,0.57181,1.04194,0.009901,0.009901,0.009901
7,2526.31,1.02488,0.93271,1.21639,0.7233,0.5308,0.59587,0.42566,0.77392,0.52973,1.02235,0.0098812,0.0098812,0.0098812
8,2884.6,1.00246,0.89504,1.20324,0.7142,0.54285,0.57438,0.41277,0.76562,0.51978,1.01509,0.0098614,0.0098614,0.0098614
9,3242.79,0.97946,0.86268,1.1903,0.82487,0.54338,0.59977,0.43497,0.75115,0.50312,1.01546,0.0098416,0.0098416,0.0098416
10,3601.35,0.96346,0.84265,1.1802,0.77898,0.56115,0.63303,0.44782,0.73788,0.48241,1.0003,0.0098218,0.0098218,0.0098218
11,3959.9,0.95187,0.81924,1.17501,0.79777,0.56608,0.61498,0.4453,0.73119,0.4714,0.99651,0.009802,0.009802,0.009802
12,4318.71,0.94026,0.79936,1.16739,0.77942,0.56064,0.65466,0.46745,0.72285,0.46581,0.99143,0.0097822,0.0097822,0.0097822
13,4676.98,0.92756,0.78343,1.15859,0.74951,0.58783,0.65524,0.4754,0.71543,0.44997,0.99166,0.0097624,0.0097624,0.0097624
14,5035.47,0.91978,0.76957,1.15324,0.76627,0.58235,0.61842,0.45961,0.71203,0.44283,0.98775,0.0097426,0.0097426,0.0097426
15,5393.69,0.90847,0.75445,1.14369,0.75892,0.58298,0.65156,0.47415,0.70689,0.4388,0.98334,0.0097228,0.0097228,0.0097228
16,5752.09,0.90219,0.74411,1.1398,0.80621,0.59928,0.67619,0.48611,0.70135,0.42811,0.98258,0.009703,0.009703,0.009703
17,6110.56,0.89364,0.73791,1.1362,0.73439,0.60185,0.63295,0.46817,0.69432,0.42562,0.97493,0.0096832,0.0096832,0.0096832
18,6468.77,0.88592,0.72449,1.13229,0.77174,0.59685,0.6706,0.48779,0.69396,0.41852,0.9767,0.0096634,0.0096634,0.0096634
19,6827.31,0.87542,0.714,1.12746,0.78156,0.59733,0.64138,0.47821,0.69068,0.4131,0.97303,0.0096436,0.0096436,0.0096436
20,7185.78,0.87238,0.70487,1.12299,0.77708,0.61999,0.68132,0.49567,0.68474,0.40536,0.96725,0.0096238,0.0096238,0.0096238
21,7544.05,0.86508,0.70239,1.11924,0.75346,0.614,0.69042,0.5067,0.67522,0.39534,0.96589,0.009604,0.009604,0.009604
22,7902.65,0.86225,0.69473,1.11821,0.77578,0.64943,0.67878,0.50578,0.67334,0.39466,0.96209,0.0095842,0.0095842,0.0095842
23,8261.06,0.85893,0.6886,1.1152,0.73416,0.63183,0.68375,0.50035,0.6732,0.39302,0.96339,0.0095644,0.0095644,0.0095644
24,8619.6,0.85286,0.6841,1.11315,0.69136,0.63401,0.68368,0.50558,0.66783,0.3897,0.96112,0.0095446,0.0095446,0.0095446
25,8978.18,0.848,0.67593,1.11003,0.7246,0.66001,0.69526,0.52398,0.66081,0.38469,0.95424,0.0095248,0.0095248,0.0095248
26,9336.88,0.8436,0.66728,1.10277,0.76984,0.65007,0.68835,0.5243,0.6612,0.38285,0.95188,0.009505,0.009505,0.009505
27,9695.53,0.8399,0.66888,1.10544,0.63884,0.70351,0.6854,0.51242,0.65855,0.37965,0.95159,0.0094852,0.0094852,0.0094852
28,10054.2,0.83495,0.66218,1.09996,0.64391,0.70417,0.69417,0.52303,0.65563,0.37659,0.95066,0.0094654,0.0094654,0.0094654
29,10412.6,0.83217,0.65454,1.09558,0.73206,0.65553,0.69736,0.51904,0.65536,0.37385,0.94861,0.0094456,0.0094456,0.0094456
30,10770.6,0.82867,0.65442,1.09642,0.73016,0.67769,0.69852,0.52643,0.65189,0.37242,0.9483,0.0094258,0.0094258,0.0094258
31,11128.4,0.8246,0.64925,1.09417,0.66796,0.68248,0.69541,0.5204,0.65664,0.37015,0.94879,0.009406,0.009406,0.009406
32,11486.1,0.82315,0.64661,1.09298,0.67772,0.68489,0.704,0.52635,0.65519,0.36748,0.94586,0.0093862,0.0093862,0.0093862
33,11844.1,0.81765,0.64152,1.09001,0.66171,0.70396,0.70319,0.5244,0.65141,0.3643,0.94626,0.0093664,0.0093664,0.0093664
34,12202.1,0.81747,0.63684,1.08732,0.73043,0.69094,0.7071,0.52258,0.64857,0.36225,0.94559,0.0093466,0.0093466,0.0093466
35,12559.9,0.81162,0.6361,1.0848,0.71705,0.68261,0.7038,0.52648,0.64608,0.35872,0.94471,0.0093268,0.0093268,0.0093268
36,12917.9,0.80975,0.62979,1.08433,0.70615,0.68244,0.70457,0.52845,0.64337,0.35544,0.94275,0.009307,0.009307,0.009307
37,13275.8,0.80689,0.62939,1.08537,0.77618,0.67345,0.70862,0.53195,0.6414,0.35522,0.94193,0.0092872,0.0092872,0.0092872
38,13634,0.80303,0.62311,1.0822,0.70695,0.68713,0.70538,0.52896,0.64167,0.35834,0.94221,0.0092674,0.0092674,0.0092674
39,13991.8,0.80298,0.62161,1.08229,0.67712,0.69448,0.70714,0.53091,0.63871,0.35528,0.93954,0.0092476,0.0092476,0.0092476
40,14349.8,0.80096,0.61951,1.07602,0.67758,0.70257,0.7116,0.53094,0.63934,0.35581,0.93982,0.0092278,0.0092278,0.0092278
41,14708.1,0.79676,0.61733,1.07839,0.70857,0.68718,0.70758,0.5307,0.63985,0.35387,0.94045,0.009208,0.009208,0.009208
42,15066.4,0.79547,0.61367,1.07538,0.70885,0.68924,0.71056,0.52918,0.63857,0.35097,0.93991,0.0091882,0.0091882,0.0091882
43,15424.8,0.79263,0.61219,1.07584,0.69013,0.68616,0.70899,0.5292,0.63837,0.34935,0.9406,0.0091684,0.0091684,0.0091684
44,15783.1,0.79144,0.60887,1.07201,0.69337,0.68897,0.71025,0.53057,0.63706,0.3492,0.93969,0.0091486,0.0091486,0.0091486
45,16141.3,0.78811,0.60456,1.07101,0.71776,0.67345,0.71485,0.53202,0.6373,0.34783,0.94037,0.0091288,0.0091288,0.0091288
46,16499.8,0.78744,0.60704,1.0726,0.71431,0.67423,0.71552,0.53161,0.63577,0.34691,0.93953,0.009109,0.009109,0.009109
47,16858.2,0.78651,0.60669,1.06819,0.68772,0.69543,0.71734,0.53314,0.63546,0.34656,0.93924,0.0090892,0.0090892,0.0090892
48,17216.7,0.78333,0.60101,1.06918,0.68832,0.70347,0.71789,0.53517,0.63559,0.34722,0.93921,0.0090694,0.0090694,0.0090694
49,17575.1,0.78092,0.59825,1.0693,0.69286,0.70031,0.71621,0.53353,0.63462,0.34752,0.93885,0.0090496,0.0090496,0.0090496
50,17933.5,0.7793,0.59625,1.06733,0.68637,0.70918,0.71365,0.53332,0.63458,0.34742,0.93874,0.0090298,0.0090298,0.0090298
51,18291.9,0.77895,0.59476,1.06344,0.68319,0.71129,0.71389,0.53343,0.63362,0.34686,0.93839,0.00901,0.00901,0.00901
52,18650.3,0.77199,0.59213,1.06206,0.68884,0.69732,0.71692,0.53487,0.63362,0.34628,0.93859,0.0089902,0.0089902,0.0089902
53,19008.4,0.77392,0.59165,1.06582,0.69202,0.70039,0.71763,0.53566,0.63358,0.34617,0.939,0.0089704,0.0089704,0.0089704
54,19366.7,0.77325,0.59196,1.06503,0.72817,0.69872,0.717,0.53618,0.63349,0.34591,0.9389,0.0089506,0.0089506,0.0089506
55,19724.8,0.77134,0.58848,1.06197,0.72511,0.69968,0.7188,0.53705,0.63366,0.34593,0.93897,0.0089308,0.0089308,0.0089308
56,20082.7,0.76809,0.58444,1.06159,0.72506,0.7023,0.71931,0.53728,0.63357,0.34556,0.93882,0.008911,0.008911,0.008911
57,20440.5,0.76839,0.58803,1.05947,0.7243,0.7064,0.72063,0.5373,0.63333,0.3449,0.93869,0.0088912,0.0088912,0.0088912
58,20798.5,0.76607,0.58031,1.05703,0.72586,0.70698,0.72005,0.54014,0.6339,0.34438,0.93917,0.0088714,0.0088714,0.0088714
59,21156,0.76543,0.58314,1.05912,0.73299,0.7021,0.71949,0.53982,0.63383,0.34418,0.93917,0.0088516,0.0088516,0.0088516
60,21513.8,0.76317,0.57896,1.05942,0.73218,0.70536,0.71968,0.53933,0.63383,0.34357,0.93933,0.0088318,0.0088318,0.0088318
61,21871.5,0.7619,0.57639,1.05506,0.73675,0.70632,0.7203,0.53952,0.63362,0.34317,0.9393,0.008812,0.008812,0.008812
62,22228.9,0.76138,0.57599,1.05571,0.73544,0.70696,0.71948,0.53801,0.63325,0.34291,0.93896,0.0087922,0.0087922,0.0087922
63,22586.3,0.75779,0.57655,1.05339,0.73446,0.70815,0.72079,0.53693,0.6331,0.34232,0.93913,0.0087724,0.0087724,0.0087724
64,22944.1,0.7574,0.57352,1.05393,0.73273,0.70765,0.72319,0.53856,0.6332,0.34206,0.93911,0.0087526,0.0087526,0.0087526
65,23301.5,0.75792,0.57409,1.05251,0.74332,0.70225,0.72394,0.53919,0.63287,0.34154,0.93891,0.0087328,0.0087328,0.0087328
66,23659.2,0.75579,0.56863,1.05036,0.74522,0.70276,0.72444,0.53961,0.63259,0.34138,0.93854,0.008713,0.008713,0.008713
67,24017,0.75324,0.56771,1.04669,0.74796,0.70234,0.72428,0.53899,0.633,0.34134,0.93888,0.0086932,0.0086932,0.0086932
